id;url;name;language;created_at;owner_id;description;forked_from_id
1;https://api.github.com/repos/akka/akka;akka;Scala;16/2/2009 9:51;1;Akka Project;
2;https://api.github.com/repos/hadley/devtools;devtools;R;3/5/2010 2:08;2;Tools to make an R developer's life easier;NULL
3;https://api.github.com/repos/johnmyleswhite/ProjectTemplate;ProjectTemplate;R;24/8/2010 12:22;3;A template utility for R projects that provides a skeletal project.;
4;https://api.github.com/repos/mavam/stat-cookbook;stat-cookbook;R;16/9/2014 15:00;6;The probability and statistics cookbook;
6;https://api.github.com/repos/yihui/knitr;knitr;R;17/10/2011 18:09;10;A general-purpose tool for dynamic report generation in R;NULL
7;https://api.github.com/repos/rstudio/shiny;shiny;JavaScript;20/6/2012 13:45;7;Easy interactive web applications with R;
8;https://api.github.com/repos/facebook/folly;folly;C++;20/6/2012 13:45;8;Folly is an open-source C++ library developed and used at Facebook.;
9;https://api.github.com/repos/mongodb/mongo;mongo;C++;15/1/2009 15:15;13;The Mongo Database;NULL
10;https://api.github.com/repos/TTimo/doom3.gpl;doom3.gpl;C++;18/7/2016 21:27;14;Doom 3 GPL source release;
11;https://api.github.com/repos/ariya/phantomjs;phantomjs;C++;27/12/2010 7:18;15;Scriptable Headless WebKit;NULL
12;https://api.github.com/repos/TrinityCore/TrinityCore;TrinityCore;C++;19/7/2016 21:29;16;TrinityCore Open Source MMO Framework;
13;https://api.github.com/repos/ronert/stat-cookbook;stat-cookbook;R;23/4/2012 19:18;23;The probability and statistics cookbook;4
14;https://api.github.com/repos/DWgit/stat-cookbook;stat-cookbook;R;20/6/2012 12:38;24;The probability and statistics cookbook;4
40;https://api.github.com/repos/saturation/stat-cookbook;stat-cookbook;R;11/10/2012 9:27;49;The probability and statistics cookbook;4
63;https://api.github.com/repos/kdaily/ProjectTemplate;ProjectTemplate;R;26/10/2010 16:08;76;A template utility for R projects that provides a skeletal project.;3
94;https://api.github.com/repos/andrekandore/doom3.gpl;doom3.gpl;C++;23/11/2011 1:45;106;Doom 3 GPL source release;10
101;https://api.github.com/repos/paulusm/ProjectTemplate;ProjectTemplate;R;3/10/2012 13:09;112;A template utility for R projects that provides a skeletal project.;3
116;https://api.github.com/repos/leoxing/doom3.gpl;doom3.gpl;C++;23/11/2011 2:47;127;Doom 3 GPL source release;10
117;https://api.github.com/repos/thomaskern/ProjectTemplate;ProjectTemplate;R;21/7/2013 17:47;128;A template utility for R projects that provides a skeletal project.;3
118;https://api.github.com/repos/jlorent/ProjectTemplate;ProjectTemplate;R;4/9/2013 12:07;129;A template utility for R projects that provides a skeletal project.;3
119;https://api.github.com/repos/windviki/doom3.gpl;doom3.gpl;C++;23/11/2011 3:14;130;Doom 3 GPL source release;10
120;https://api.github.com/repos/fake-human/doom3.gpl;doom3.gpl;C++;23/11/2011 3:17;131;Doom 3 GPL source release;10
152;https://api.github.com/repos/mtrencseni/doom3;doom3;C++;23/11/2011 8:19;165;Doom 3 GPL source release;10
159;https://api.github.com/repos/TimeDoctor/iodoom3;iodoom3;C++;23/11/2011 8:54;173;Doom 3 GPL source release;10
187;https://api.github.com/repos/waninkoko/doom3.x64;doom3.x64;C++;23/11/2011 14:58;233;Doom 3 GPL source release;10
228;https://api.github.com/repos/maesse/Poodoom;Poodoom;C++;24/11/2011 10:59;372;Doom 3 GPL source release;10
289;https://api.github.com/repos/mangos/MaNGOS;MaNGOS;C++;18/7/2016 21:31;657;This is the master Information repository for MaNGOS;
290;https://api.github.com/repos/MordenkainenXOR/D3UTD;D3UTD;C++;27/11/2011 12:57;658;DOOM 3 up to date;10
303;https://api.github.com/repos/sosocgx/doom3.gpl;doom3.gpl;C++;29/11/2011 4:42;682;Doom 3 GPL source release;10
310;https://api.github.com/repos/vagrant51/IdTech4-NZ;IdTech4-NZ;C++;30/11/2011 16:46;691;Doom 3 GPL source release;10
312;https://api.github.com/repos/RicoP/doom3.gpl;doom3.gpl;C++;18/7/2016 21:27;694;Doom 3 GPL source release;10
374;https://api.github.com/repos/daedalus/iodoom3;iodoom3;C++;26/12/2011 23:19;830;Doom 3 GPL source release;10
407;https://api.github.com/repos/id-Software/DOOM-3;DOOM-3;C++;1/2/2012 1:52;902;Doom 3 GPL source release;10
438;https://api.github.com/repos/guiquanz/folly;folly;C++;3/6/2012 8:21;969;Folly is an open-source C++ library developed and used at Facebook.;8
451;https://api.github.com/repos/StrelokDev/Doom3;Doom3;C++;18/7/2016 21:28;994;Doom 3 GPL source release;10
454;https://api.github.com/repos/bitcoin/bitcoin;bitcoin;TypeScript;19/12/2010 14:16;997;Bitcoin integration/staging tree;NULL
725;https://api.github.com/repos/sk413025/shiny;shiny;R;19/12/2012 23:36;561;Easy interactive web applications with R;7
782;https://api.github.com/repos/wyngit/shiny;shiny;R;7/3/2013 22:30;66;Easy interactive web applications with R;7
813;https://api.github.com/repos/jcdny/devtools;devtools;R;25/1/2011 20:22;821;Tools to make an R developer's life easier;2
814;https://api.github.com/repos/hadley/shiny;shiny;JavaScript;16/4/2013 9:11;2;Easy interactive web applications with R;7
822;https://api.github.com/repos/trestletech/shiny;shiny;JavaScript;8/5/2013 1:33;965;Easy interactive web applications with R;7
933;https://api.github.com/repos/abresler/devtools;devtools;R;22/7/2012 12:56;25;Tools to make an R developer's life easier;2
994;https://api.github.com/repos/Honglang/devtools;devtools;R;29/11/2012 3:06;27;Tools to make an R developer's life easier;2
1049;https://api.github.com/repos/imanuelcostigan/devtools;devtools;R;24/1/2013 3:24;807;Tools to make an R developer's life easier;2
1087;https://api.github.com/repos/jlehtoma/devtools;devtools;R;12/3/2013 13:02;126;Tools to make an R developer's life easier;2
1130;https://api.github.com/repos/christophergandrud/devtools;devtools;R;24/4/2013 21:00;755;Tools to make an R developer's life easier;2
1133;https://api.github.com/repos/evelynmitchell/devtools;devtools;R;25/4/2013 2:00;73;Tools to make an R developer's life easier;2
1138;https://api.github.com/repos/a5an0/bitcoin;bitcoin;C++;6/6/2011 16:50;564;Bitcoin integration/staging tree;454
1172;https://api.github.com/repos/ztianjin/bitcoin;bitcoin;C++;11/6/2011 23:51;166;Bitcoin integration/staging tree;454
1192;https://api.github.com/repos/thomaskern/devtools;devtools;R;15/6/2013 13:17;128;Tools to make an R developer's life easier;2
1206;https://api.github.com/repos/krlmlr/devtools;devtools;R;5/7/2013 20:04;850;Tools to make an R developer's life easier;2
1211;https://api.github.com/repos/alexchang/bitcoin;bitcoin;C++;19/6/2011 8:30;111;Bitcoin integration/staging tree;454
1229;https://api.github.com/repos/slowbrain/devtools;devtools;R;31/7/2013 16:11;939;Tools to make an R developer's life easier;2
1235;https://api.github.com/repos/Anushaa/devtools;devtools;R;4/8/2013 12:54;697;Tools to make an R developer's life easier;2
1259;https://api.github.com/repos/meyera/devtools;devtools;R;13/8/2013 13:43;462;Tools to make an R developer's life easier;2
1375;https://api.github.com/repos/windviki/folly;folly;C++;7/1/2013 3:58;130;Folly is an open-source C++ library developed and used at Facebook.;8
1474;https://api.github.com/repos/soitun/bitcoin;bitcoin;C++;24/9/2011 14:16;673;Bitcoin integration/staging tree;454
1511;https://api.github.com/repos/ztianjin/folly;folly;C++;12/3/2013 2:19;166;Folly is an open-source C++ library developed and used at Facebook.;8
1583;https://api.github.com/repos/zcoder/bitcoin;bitcoin;C++;7/3/2012 15:00;634;Bitcoin integration/staging tree;454
1742;https://api.github.com/repos/cuboney/bitcoin;bitcoin;C++;23/9/2012 19:41;168;Bitcoin integration/staging tree;454
2023;https://api.github.com/repos/enricoros/phantomjs;phantomjs;JavaScript;6/4/2011 18:48;175;minimalistic headless WebKit-based JavaScript-driven tool;11
2095;https://api.github.com/repos/keeyipchan/phantomjs;phantomjs;Python;20/8/2011 21:28;229;Headless WebKit with JavaScript API;11
2219;https://api.github.com/repos/aaronmcadam/phantomjs;phantomjs;C++;13/3/2012 21:30;178;Headless WebKit with JavaScript API;11
2524;https://api.github.com/repos/daedalus/bitcoin;bitcoin;TypeScript;12/7/2013 19:01;830;Bitcoin integration/staging tree;454
3212;https://api.github.com/repos/Honglang/knitr;knitr;R;7/12/2012 2:33;27;A general-purpose tool for dynamic report generation in R;6
3833;https://api.github.com/repos/ztianjin/mongo;mongo;C++;3/3/2011 9:33;166;The Mongo Database;9
3997;https://api.github.com/repos/childhood/http-parser;http-parser;C;20/7/2015 5:34;981;http request/response parser for c;
4082;https://api.github.com/repos/gotomypc/http-parser;http-parser;C;8/11/2012 3:23;784;http request/response parser for c;3750
5544;https://api.github.com/repos/a5an0/xbmc;xbmc;C;4/11/2011 3:07;564;XBMC Main Repository;3583
6168;https://api.github.com/repos/baoping/xbmc;xbmc;C;22/8/2012 0:47;822;XBMC Main Repository;3583
6498;https://api.github.com/repos/JT5D/xbmc;xbmc;C;23/10/2012 1:39;706;XBMC Main Repository;3583
6644;https://api.github.com/repos/PhantomMatthew/MaNGOS;MaNGOS;C++;18/7/2016 21:31;1000;This is the master Information repository for MaNGOS;289
6825;https://api.github.com/repos/VasyOk/xbmc;xbmc;C;18/2/2013 1:59;145;XBMC Main Repository;3583
