id;company;location;type;user_id
12;;Montenegro;USR;12
13;-;-;ORG;13
15;;--;USR;15
16;-;InterWebs;ORG;16
17;-;-;USR;17
18;-;-;USR;18
19;Myself;France;USR;19
20;-;-;USR;20
21;-;-;USR;21
22;-;-;USR;22
23;-;-;USR;23
24;-;-;USR;24
25;-;-;USR;25
26;NYU Causation & Categorization Lab ;New York ;USR;26
27;-;-;USR;27
28;-;-;USR;28
30;Asian Institute of Technology;Thailand;USR;30
31;Hypoport AG;Germany;USR;31
32;-;Germany;USR;32
33;;Sao Paulo;USR;33
34;-;-;USR;34
38;Imaginary Cloud;Portugal;USR;38
42;SaltStack.com;-;USR;42
44;GP solution;Bolivia;USR;44
46;-;-;USR;46
47;NullPointer Software;San Francisco Bay Area;USR;47
49;-;Oulu;USR;49
51;-;-;USR;51
52;itbrain;México;USR;52
53;-;-;USR;53
55;-;-;USR;55
58;-;-;USR;58
59;-;-;USR;59
61;-;-;USR;61
62;Digitale Daten;Winterthur-Zürich-Switzerland;USR;62
63;-;-;USR;63
64;-;University of Calgary;USR;64
65;NYU Computational Cognition Lab;New York;USR;65
66;-;-;USR;66
68;Lightstream Enterprise LLC;-;USR;68
71;-;-;USR;71
72;Nerd Web Indonesia;Yogyakarta;USR;72
74;-;-;USR;74
75;-;-;USR;75
76;National Cancer Institute;-;USR;76
77;-;-;USR;77
78;UCL Centre for Advanced Spatial Analysis (CASA);London ⇄ Dublin;USR;78
79;Fisheye Perspective;Auckland;USR;79
80;;New York;USR;80
81;-;-;USR;81
82;;--;USR;82
83;-;-;USR;83
84;-;-;USR;84
85;-;-;USR;85
86;-;Eastern PA;USR;86
87;University of Cambridge;-;USR;87
88;-;Denver;USR;88
89;-;-;USR;89
90;-;-;USR;90
91;McGill University;Montreal;USR;91
92;jianshi;shanghai;USR;92
93;Neural Risk Analytics Pvt. Ltd.;Mumbai;USR;93
94;-;Toronto;USR;94
95;-;Italy;USR;95
96;-;-;USR;96
97;-;-;USR;97
98;-;Mexico;USR;98
99;-;-;USR;99
100;-;-;USR;100
102;-;-;USR;102
103;-;-;USR;103
105;-;-;USR;105
106;Uniba Inc.;-;USR;106
107;-;-;USR;107
108;-;-;USR;108
109;-;-;USR;109
110;-;-;USR;110
111;trendmicro;nanjing;USR;111
112;-;-;USR;112
113;-;-;USR;113
114;Intridea;Chengdu China;USR;114
115;-;-;USR;115
116;-;-;USR;116
117;-;-;USR;117
119;-;London/UK;USR;119
120;-;-;USR;120
122;-;UK;USR;122
123;-;-;USR;123
124;-;Melbourne;USR;124
125;-;-;USR;125
126;University of Helsinki;Helsinki;USR;126
127;-;-;USR;127
128;-;-;USR;128
129;-;-;USR;129
130;-;-;USR;130
131;-;-;USR;131
132;-;-;USR;132
134;-;-;USR;134
135;-;-;USR;135
136;-;China;USR;136
137;Shades of Grey Interactive;Texas;USR;137
138;-;-;USR;138
139;-;-;USR;139
140;-;-;USR;140
141;-;-;USR;141
143;-;-;USR;143
144;-;-;USR;144
147;-;-;USR;147
148;Hornby Zeller Associates;Upstate New York;USR;148
149;-;-;USR;149
150;-;Belgium;USR;150
151;-;-;USR;151
152;-;-;USR;152
155;-;-;USR;155
157;-;-;USR;157
158;baycode;shenzhen;USR;158
159;-;-;USR;159
160;-;-;USR;160
161;-;India;USR;161
162;-;New Zealand;USR;162
163;-;Taiwan;USR;163
164;-;-;USR;164
165;;Budapest;USR;165
166;;-;USR;166
167;-;Capelle aan den Ijssel;USR;167
168;-;-;USR;168
169;-;-;USR;169
170;ThoughtWorks;Melbourne;USR;170
171;-;-;USR;171
172;-;Amsterdam;USR;172
173;-;-;USR;173
174;-;-;USR;174
175;-;--;USR;175
