id,company,location,type,user_id
1,,Uppsala, Sweden,ORG,1
2,Rice University,Houston, TX,USR,2
3,Princeton University,Brooklyn, NY,USR,3
6,University of California, Berkeley,Berkeley, CA,USR,6
7,,Boston, MA,ORG,7
8,,Menlo Park, CA,ORG,8
9,-,Heraklion, Crete, Greece,USR,9
10,Department of Statistics, Iowa State University,Ames, IA,USR,10
12,,Montenegro,USR,12
13,-,-,ORG,13
14,,Dallas, TX, USA,USR,14
15,,--,USR,15
16,-,InterWebs,ORG,16
17,-,-,USR,17
18,-,-,USR,18
19,Myself,France,USR,19
20,-,-,USR,20
21,-,-,USR,21
22,-,-,USR,22
23,-,-,USR,23
24,-,-,USR,24
25,-,-,USR,25
26,NYU Causation & Categorization Lab ,New York ,USR,26
27,-,-,USR,27
28,-,-,USR,28
29,BitBang Srl,Bologna, Italy,USR,29
30,Asian Institute of Technology,Thailand,USR,30
31,Hypoport AG,Germany,USR,31
32,-,Germany,USR,32
33,,Sao Paulo,USR,33
34,-,-,USR,34
35,Mynd, Inc.,Tokyo,USR,35
36,Misadventure Games,Mountain View, Ca,USR,36
37,,Montreal, Canada,USR,37
38,Imaginary Cloud,Portugal,USR,38
39,-,Sydney, Australia,USR,39
40,GSI Technology,austin, 'yall,USR,40
41,Puppet Labs,Portland, OR,USR,41
42,SaltStack.com,-,USR,42
43,8th Light,Vernon Hills, IL,USR,43
44,GP solution,Bolivia,USR,44
45,-,Toronto, Canada,USR,45
46,-,-,USR,46
47,NullPointer Software,San Francisco Bay Area,USR,47
48,GitHub,Lansing, MI,USR,48
49,-,Oulu,USR,49
50,-,Warsaw, Poland,USR,50
51,-,-,USR,51
52,itbrain,México,USR,52
53,-,-,USR,53
54,,Mesa, AZ,USR,54
55,-,-,USR,55
56,Rackspace,San Antonio, TX,USR,56
57,Youngstown State University,Youngstown, Ohio, USA,USR,57
58,-,-,USR,58
59,-,-,USR,59
60,-,atlanta, ga - USA,USR,60
61,-,-,USR,61
62,Digitale Daten,Winterthur-Zürich-Switzerland,USR,62
63,-,-,USR,63
64,-,University of Calgary,USR,64
65,NYU Computational Cognition Lab,New York,USR,65
66,-,-,USR,66
67,http://bajcic.com,Belgrade, Serbia,USR,67
68,Lightstream Enterprise LLC,-,USR,68
69,-,Austin, TX,USR,69
70,Studio8 Media,Aberystwyth, Wales,USR,70
71,-,-,USR,71
72,Nerd Web Indonesia,Yogyakarta,USR,72
73,-,Fort Collins, CO,USR,73
74,-,-,USR,74
75,-,-,USR,75
76,National Cancer Institute,-,USR,76
77,-,-,USR,77
78,UCL Centre for Advanced Spatial Analysis (CASA),London ⇄ Dublin,USR,78
79,Fisheye Perspective,Auckland,USR,79
80,,New York,USR,80
81,-,-,USR,81
82,,--,USR,82
83,-,-,USR,83
84,-,-,USR,84
85,-,-,USR,85
86,-,Eastern PA,USR,86
87,University of Cambridge,-,USR,87
88,-,Denver,USR,88
89,-,-,USR,89
90,-,-,USR,90
91,McGill University,Montreal,USR,91
92,jianshi,shanghai,USR,92
93,Neural Risk Analytics Pvt. Ltd.,Mumbai,USR,93
94,-,Toronto,USR,94
95,-,Italy,USR,95
96,-,-,USR,96
97,-,-,USR,97
98,-,Mexico,USR,98
99,-,-,USR,99
100,-,-,USR,100
101,,Mexico City, MX,USR,101
102,-,-,USR,102
103,-,-,USR,103
104,Bityarn Consult Company Ltd,Nairobi, Kenya,USR,104
105,-,-,USR,105
106,Uniba Inc.,-,USR,106
107,-,-,USR,107
108,-,-,USR,108
109,-,-,USR,109
110,-,-,USR,110
111,trendmicro,nanjing,USR,111
112,-,-,USR,112
113,-,-,USR,113
114,Intridea,Chengdu China,USR,114
115,-,-,USR,115
116,-,-,USR,116
117,-,-,USR,117
