id;object_id;content_type_id;tag_id
1;4;8;1
2;4;8;2
3;4;8;3
4;1;8;4
5;3;8;5
6;3;8;6
7;7;8;8
8;7;8;5
9;7;8;7
10;8;8;9
11;8;8;10
12;8;8;11
13;18440;8;12
14;41188960;8;13
15;41188960;8;14
16;10;8;10
17;10;8;15
18;312;8;10
19;312;8;15
20;451;8;10
21;451;8;15
22;12662;8;16
23;12662;8;17
24;289;8;10
25;289;8;18
26;6644;8;10
27;6644;8;18
28;13926404;8;19
29;44998824;8;19
30;36804486;8;19
31;11072123;8;19
32;62095504;8;19
33;1633641;8;19
34;1633641;8;20
35;1633641;8;21
36;1633641;8;22
37;18440;8;24
38;18440;8;23
39;40229710;8;25
40;40229710;8;7
41;12;8;16
42;12;8;10
43;12662;8;26
44;3997;8;27
45;3997;8;14
46;10743;8;28
47;10743;8;29
48;10743;8;14
49;7383;8;14
50;7383;8;30
